<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230103,110000,367.9500000,371.8000000,366.9000000,371.4500000,819754
20230103,120000,371.5000000,372.7500000,370.4000000,371.3000000,561119
20230103,130000,371.4000000,371.5000000,370.2000000,370.4500000,172026
20230103,140000,370.3500000,370.7000000,369.5500000,370.0000000,155393
20230103,150000,370.0000000,370.4000000,368.0500000,368.4000000,139744
20230103,160000,368.4000000,369.8500000,368.3000000,369.3500000,121378
20230103,170000,369.3500000,369.6000000,368.4000000,368.5000000,80393
20230103,180000,368.5000000,369.3500000,368.2500000,369.1000000,83458
20230103,190000,369.1000000,369.2500000,368.0500000,368.5000000,61404
20230103,200000,368.5000000,369.0500000,366.2000000,366.9500000,218000
20230103,210000,366.8500000,368.2500000,366.3000000,367.4000000,108675
20230103,220000,367.4000000,368.3500000,367.3500000,367.9500000,51471
20230103,230000,367.9500000,368.1000000,367.3000000,367.8500000,35262
20230104,000000,367.8500000,368.0500000,367.5000000,368.0500000,27006
20230104,110000,366.8000000,367.6000000,366.0000000,366.6000000,312713
20230104,120000,366.6000000,366.9000000,365.2000000,365.8000000,219688
20230104,130000,365.7500000,366.1000000,363.2500000,364.2500000,442537
20230104,140000,364.2500000,364.8000000,363.6500000,364.3000000,96812
20230104,150000,364.3500000,364.7500000,364.0000000,364.5500000,84043
20230104,160000,364.5000000,364.6000000,363.6500000,363.7000000,82476
20230104,170000,363.7000000,364.9000000,363.4500000,364.5000000,101690
20230104,180000,364.5000000,364.9000000,364.1500000,364.7000000,61494
20230104,190000,364.7000000,365.0000000,364.1500000,365.0000000,54108
20230104,200000,365.0000000,365.1500000,364.2000000,364.3000000,45794
20230104,210000,364.5000000,365.8000000,364.3000000,365.7000000,65666
20230104,220000,365.7000000,367.3500000,365.2000000,367.3500000,94501
20230104,230000,367.3500000,367.4000000,365.9000000,366.2000000,79537
20230105,000000,366.1000000,366.5000000,365.5500000,365.8000000,47994
20230105,110000,366.9000000,369.0000000,365.9500000,367.6000000,431033
20230105,120000,367.6000000,368.0000000,367.3500000,367.9500000,116805
20230105,130000,367.9500000,368.1500000,367.7500000,368.1500000,99330
20230105,140000,368.1000000,368.2000000,367.5500000,367.9000000,61720
20230105,150000,367.9000000,367.9000000,367.0000000,367.0500000,88110
20230105,160000,367.1000000,367.9000000,367.0000000,367.7000000,77418
20230105,170000,367.7000000,367.7000000,367.0500000,367.2500000,41141
20230105,180000,367.2500000,367.2500000,365.8000000,366.3000000,130203
20230105,190000,366.3000000,367.7000000,366.2500000,367.7000000,93608
20230105,200000,367.8000000,367.8000000,366.6000000,367.1500000,32629
20230105,210000,367.1500000,367.2000000,366.5500000,367.0000000,26041
20230105,220000,367.0500000,367.9500000,366.8000000,367.4000000,59805
20230105,230000,367.4000000,367.8500000,367.0500000,367.3500000,29522
20230106,000000,367.2500000,367.6000000,367.0000000,367.5000000,34066
20230106,110000,367.8000000,368.5000000,367.0500000,367.6500000,191687
20230106,120000,367.5000000,368.0500000,367.1500000,367.9500000,70410
20230106,130000,367.9500000,368.1000000,367.3000000,367.9000000,98769
20230106,140000,367.9500000,368.0000000,367.3500000,367.3500000,58773
20230106,150000,367.4000000,367.8000000,367.3500000,367.4500000,42182
20230106,160000,367.4500000,367.7000000,367.3500000,367.5500000,41782
20230106,170000,367.4000000,367.7000000,367.3500000,367.6500000,41463
20230106,180000,367.6500000,367.9000000,367.4000000,367.5000000,71015
20230106,190000,367.4000000,367.6500000,367.4000000,367.6500000,52005
20230106,200000,367.7000000,367.8500000,367.2000000,367.4500000,39212
20230106,210000,367.4000000,367.7500000,367.1500000,367.2000000,57382
20230106,220000,367.1500000,367.2000000,366.9000000,367.0000000,54584
20230106,230000,367.0000000,367.3000000,366.7500000,367.3000000,65699
20230107,000000,367.3000000,367.3000000,367.0000000,367.3000000,52105
20230109,110000,368.2000000,369.7000000,367.5000000,368.1000000,683265
20230109,120000,368.1000000,369.4500000,366.0500000,367.9500000,719607
20230109,130000,367.8500000,368.5000000,367.5000000,368.3500000,307285
20230109,140000,368.3000000,369.3000000,368.0000000,369.1500000,312427
20230109,150000,369.1500000,369.4500000,368.9000000,369.0000000,194762
20230109,160000,369.0000000,369.1500000,368.5000000,368.7500000,137489
20230109,170000,368.7000000,368.9000000,368.0500000,368.2000000,207295
20230109,180000,368.1000000,368.7500000,367.8000000,367.8000000,239942
20230109,190000,367.8000000,369.1000000,367.6500000,369.1000000,329144
20230109,200000,369.1000000,369.1000000,367.5000000,367.7500000,368534
20230109,210000,367.7500000,367.9500000,366.8500000,367.2500000,459117
20230109,220000,367.2000000,367.9500000,367.1000000,367.7500000,95404
20230109,230000,367.7500000,368.0000000,367.4500000,367.8000000,141231
20230110,000000,367.8000000,368.4000000,367.5500000,367.9500000,133590
20230110,110000,367.5000000,368.0000000,362.2000000,363.2000000,1089347
20230110,120000,363.2500000,365.5000000,362.4500000,364.9500000,660040
20230110,130000,364.9500000,365.9500000,364.2500000,364.6500000,345392
20230110,140000,364.7000000,365.5000000,364.3500000,365.5000000,282497
20230110,150000,365.5000000,365.7500000,365.0500000,365.5000000,172053
20230110,160000,365.5500000,365.5500000,365.1000000,365.2000000,192658
20230110,170000,365.2000000,365.3500000,364.5500000,365.0500000,318953
20230110,180000,365.0500000,365.7500000,365.0000000,365.6000000,262648
20230110,190000,365.5500000,366.7500000,365.1500000,366.0000000,641013
20230110,200000,365.2500000,365.8500000,365.0500000,365.7000000,157981
